Type,Breed1,Breed2,Color1,Color2,Color3,Fee,Quantity,VideoAmt,AgeBins,PhotoAmt,Age,BreedPure,Gender,MaturitySize,FurLength,Health,ColorAmt,Vaccinated,Dewormed,BreedName,Sterilized,StateBins,ColorName,Description,AdoptionSpeed
2,265,0,1,2,7,0,4,0,"[  3,  6)",5,3,Y,3,2,2,1,3,2,2,Domestic Medium Hair,2,41401,Black,"4 kittens were found in my garden, aged approximately 1 month. I have been looking after them for the past 2 months. They are healthy and friendly towards humans.",3
2,266,0,7,0,0,0,1,0,"[  3,  6)",3,4,Y,2,1,1,1,1,2,2,Domestic Short Hair,1,41401,White,"Am odd eyes female white fur kitty ready for adoption,she playful and wander around my car park lot at my apartment,taman Sri sinar,please help to give her a new home.",3
2,292,292,7,0,0,50,1,0,2,5,2,Y,2,1,1,1,1,3,3,Siamese,3,41401,White,"a healthy cat,look like Siamese,very cute.i have had a cat already so can keep this one any more . so anyone kind heart can adopt it please contact me at and i will give a cage for free",1
2,265,0,2,4,7,0,1,0,2,5,2,Y,1,1,2,1,3,2,3,Domestic Medium Hair,2,41326,Brown,Location: IIUM GOMBAK Contact no: (whatsapp/weechat available),2
2,295,0,3,0,0,0,1,0,"[ 24, 60)",4,24,Y,1,2,2,1,1,1,1,Singapura,2,41401,Golden,"Hi guys, i very sad but i have to let my cat for adoption. He is 2 years old. Very obedient and affectionate and he is an indoor cat. He very friendly and playful. Hope to find a good owner. Anyone interested to find a good companion, feel free pm me.",4
1,307,307,3,5,7,0,2,0,"[  3,  6)",5,3,N,3,2,1,1,3,3,3,Mixed Breed,3,41326,Golden,"I have two puppies up for adoption. Both were found wandering and lost in a park nearby. One female and one male, approximately 2 to 4 months old with white and caramel coloured fur. The puppies are healthy, playful, and they adore human contact. For more info, please contact me (Rebecca) at .",2
1,307,111,2,0,0,0,1,0,"[ 24, 60)",1,48,N,1,2,1,1,1,3,3,Mixed Breed,3,41326,Brown,Very quiet and loving. Do not bark much. Love to cuddle.,4
1,307,0,1,7,0,0,2,0,"[  0,  2)",5,1,N,2,2,1,1,2,1,1,Mixed Breed,3,41330,Black,Milky and Coffie are now ready for adoption. If you think you can give them a good loving home. Kindly contact Ms.Huey at or Ms. Sandy at,3
2,266,0,2,7,0,0,1,0,2,3,2,Y,1,2,1,1,2,2,1,Domestic Short Hair,2,41326,Brown,"Rescued by a university student. Needs a permanent, loving home.",3
1,307,0,4,0,0,0,1,0,2,7,2,N,2,2,1,1,1,2,1,Mixed Breed,2,41401,Yellow,"Very sticky towards humans and would follow closely wherever u go. ~i will follow u, follow you wherever u may go.~~ Cute baby u shd see in person! Yellow body and white on front 2 paws.",2
2,265,0,1,0,0,0,1,0,"[  0,  2)",1,1,Y,1,2,2,1,1,2,2,Domestic Medium Hair,2,41336,Black,Blue eyes and Shiny Black fur... really a pretty sight! do adopt Blackie and give it love!,1
2,266,0,4,6,7,0,3,0,"[  0,  2)",10,1,Y,3,1,1,1,3,2,2,Domestic Short Hair,2,41336,Yellow,"Rescued these kittens nearby JB Taman Molek, interested adopters please email me urgently. Thank you!",1
2,266,0,7,0,0,0,1,0,"[ 12, 24)",3,18,Y,2,2,1,1,1,2,2,Domestic Short Hair,2,41326,White,"My mother rescued her from the street. A mother cat took care of her until she's healthy and beautiful. Aside from her past on the street, we never let her go outside roaming around.",2
1,307,0,2,0,0,0,1,0,2,2,2,N,2,2,2,1,1,2,1,Mixed Breed,2,41327,Brown,"A mama dog and her 4 puppies (2males & 2females) were spotted at the carpark of Ocean Green Seafood Restaurant, Penang. Those puppies are most of the time hiding under cars and playing around the area. This could be quite dangerous as vehicles move in and out most of the time and they may risk being hit and run over by cars. The family are in fact very friendly. If you are considering to adopt a pet, do give these puppies a chance. For more details, you may call/sms/whatsapp or.",4
1,307,307,1,0,0,0,1,0,2,5,2,N,1,1,1,1,1,3,3,Mixed Breed,3,41326,Black,Cute puppy for adoption,1
2,266,265,1,5,0,0,1,0,"[  3,  6)",3,4,N,1,2,2,1,2,1,1,Domestic Short Hair,2,41327,Black,"Anak kucing untuk diberi secara percuma. Male kitten aged 4 mons for Free Jantina : Jantan Umur : 4 bulan Status : Sudah vaccine & deworm siap Toilet train Bersih & tak pernah keluar rumah Sangat aktif Syarat : Hanya utk keluarga yg menyayangi haiwan peliharaan Kitten tak pernah kena kurung, harap ada owner yg boleh jaga tanpa menggunakan sangkar (sbb nanti kitten akan bising) Tak boleh nak jaga banyak kucing sangat sebab saya ada ramai anak. Duduk pun rumah flat 1 bilik :( Jika berminat boleh sms / whatsapp saya yaa.. Sue (no call) Kena ambil sendiri di Flat Kampung Melayu, Ayer Itam. Kucing ni Free saja. Complete deworm & vaksin. Tapi harap bela dengan kasih sayang. Jika ada masalah, boleh pulangkan balik tapi janganlah dibuang merata...mereka pun hamba Allah s.w.t...",3
1,307,0,1,2,0,20,1,0,2,1,2,N,1,2,2,1,2,2,2,Mixed Breed,2,41327,Black,The lil' puppy is currently taking shelter at SPCA Seberang Perai. Those interested to adopt him may contact us via email.,1
1,307,0,2,0,0,0,1,0,"[  3,  6)",3,3,N,1,1,1,1,1,2,1,Mixed Breed,1,41326,Brown,He was nearly became a road kill before me and my wife and also some Good Samaritans help to rescue him. Very affectionate little guy!,3
2,266,0,3,7,0,0,2,0,2,6,2,Y,1,2,1,2,2,2,1,Domestic Short Hair,2,41401,Golden,"Taco - 1 month old, hardware store rescue. Libre - 3 months old, lost on a street corner. Now they are inseperable brothers! They like to play together, sleep together, eat together. They should stay together but if you can only take one, message me and we can work something out.",3
1,307,0,1,7,0,0,1,0,2,6,2,N,2,2,1,1,2,2,2,Mixed Breed,2,41326,Black,"Patches and her siblings were seen by the roadside on morning. The very same evening, she had found her way to the guardhouse near my area. Her two siblings were no where to be seen. Ever since, she has been staying at the guard house, although the guards would love to keep her, they are unable to do so due to religious reasons and thus have been asked to chase her away. I have talked to the guards to give her a week or two weeks so that I can find her a home. She's such a loving, smart and beautiful dog. She's so intelligent that she has potty trained herself and knows how to sit. I would take her in but I have two big dogs of my own already. pls don't hesitate to call me. TQ.",2
2,266,285,1,2,0,0,4,0,"[ 12, 24)",4,12,N,3,2,3,1,2,2,2,Domestic Short Hair,2,41401,Black,"this is really hard for me. but since im pregnant, i caoont keep a lot for cat in house. please any kind person adopt my baby. mommo with 3 baby. must adopt all 4 because the baby still need their mommy.",1
2,266,0,3,5,7,0,1,0,"[  3,  6)",5,5,Y,1,2,1,1,3,2,1,Domestic Short Hair,2,41401,Golden,"Wallace is a playful yet charming little kitty. He is tough,yet timit, especially when the vacuum cleaner is on. He has beautiful fur. He is a lovely little kitty and he needs a loving and caring home. Kindly contact me if you're interested to adopt Wallace to brighten up your daily life! ;D",2
2,266,0,1,2,6,0,5,0,"[  0,  2)",5,1,Y,3,2,1,1,3,2,2,Domestic Short Hair,3,41401,Black,"The kittens were found around our hostel and motherless. Despite being healthy due to the given food by students, we are very scared of how the survival of these kittens as there will be high chances of getting them being dump at the market as reffered to our wardens. Please help us since we are able to take care of them since we are living in the hostel. We will give the litter and some food that we already bought with no extra charge. Please help us and help them. Please do whatsapp/IM my number instead of calling and messaging.",0
2,266,0,7,0,0,100,1,0,"[  3,  6)",3,5,Y,2,2,1,1,1,1,1,Domestic Short Hair,1,41326,White,"Abby is a friendly, affectionate little girl rescued from under a car. She has been spayed and vaccinated, including against Feline Leukaemia Virus (FeLV). The adoption fee of RM is but a nominal sum. She has to be kept indoors for safety. She loves to play and be held and carried. House-trained. Very friendly. Plays well with other cats.",2
1,307,0,1,2,0,0,2,0,"[  3,  6)",3,3,N,1,2,1,1,2,1,1,Mixed Breed,1,41326,Black,"Hi, Joshua and Jacob are two very sweet and playfull puppies looking for a forever loving home. My friends and I have been taking care of these puppies where we live. We have fed the mum, played with her and the puppies, kept them all save and had them vaccinated. The puppies are too young to be neutered yet, but we will take care of that or pay for the cost. If you are interested please call my friends Bella or Helena",3
2,266,0,2,7,0,0,1,0,"[  3,  6)",2,3,Y,1,1,1,1,2,1,1,Domestic Short Hair,2,41401,Brown,Oren is Bobo's kitten. Very friendly and love to lick people that he knows. Already can eat commercial kitten food,1
2,247,264,1,2,6,0,3,0,2,3,2,N,3,1,3,1,3,2,3,Bengal,2,41326,Black,"Very playful, surely u like it.. two of it have long fur.. Meanwhile, the other one is medium.. For other information, do call / text or whatsapp me.. Thank you so much ^^,",1
1,207,0,1,2,0,0,1,0,"[ 60,255]",2,108,Y,2,1,3,1,2,1,1,Silky Terrier,1,41326,Black,HIS SENIOR DOG IS ELIGIBLE FOR FREE BASIC GROOMING FOR LIFE AT OUR DOGGIE DOOS SALON! We have over sixty gorgeous rescued dogs available for adoption at our rehabilitation centre in Bandar Makhota Cheras. We are looking for loving homes that can offer: *a clean environment with no cages or chains *regular exercise and affection *adequate nutrition and healthcare All adoptions require a house-check before being finalised. www.klpoochrescue.org,3
1,307,117,1,3,5,0,1,0,"[ 12, 24)",10,18,N,2,2,1,1,3,1,1,Mixed Breed,1,41326,Black,Louise is believed to be an abandoned pet. She is a great watchdog and has a good temperament. Looking for a good home. No tying up or caging unless for short periods. Please call if u can give her a second chance.,4
2,243,243,6,7,0,0,2,0,"[  0,  2)",4,1,Y,3,2,2,1,2,2,2,American Shorthair,2,41326,Gray,"I rescued 2 really small kittens from a drain on a rainy night while searching for my own lost cat, I posted the notice at this page on 18 June. (). Both kittens are really health and well, and I have been taking care of them since i found them. One of them are eating solid food, the age is about 1 month and the other one is smaller and still drinking milk (cant eat solid food), about less than a month old. Unsure of their genders. Looking for someone to adopt both of them since I'm still busy looking for my lost cat and kinda still heartbroken about it. Please contact.",2
1,307,0,5,0,0,0,1,1,"[  3,  6)",3,3,N,2,2,2,1,1,1,3,Mixed Breed,2,41326,Cream,Beautiful puppy looking for a forever home. Commitment to spay is compulsory. If u are interested to adopt pls contact Rachel,2
2,266,266,1,2,5,50,2,0,"[  3,  6)",4,5,Y,1,1,1,1,3,2,2,Domestic Short Hair,2,41401,Black,"Feral and Wailen are brothers, that were found from the isolation of the kitchen ceiling. It all began when a mother bred them on our kitchen ceiling. We didn't give much concern until they both fell from the ceiling, onto a built-in kitchen cabinet. We tamed them and fostered them for about 5 months. They are a couple of healthy and playful furry creatures. They would love some special treats from time to time.",4
1,307,0,5,0,0,0,1,0,"[  3,  6)",5,4,N,2,2,1,1,1,1,1,Mixed Breed,1,41330,Cream,"Creamy was found hiding under a vehicle by the road side. She has a very gentle temprement and is very loving and obedient. She has gone through health check and we have de-tick, de-worm her. She will be sent for spaying before adoption. No adoption fees is required. All we are asking for is for you to give her a loving home.. Interested, Kindly contact Ms.Sandy ",2
2,266,0,1,6,7,0,4,0,2,7,2,Y,3,2,2,1,3,2,2,Domestic Short Hair,2,41326,Black,Tidak pasti sama ada berbulu panjang atau pendek kerana masih kecil.Ibu mereka berbulu sederhana panjang.,1
1,307,307,1,2,7,0,6,1,2,5,2,N,3,3,1,1,3,2,2,Mixed Breed,2,41326,Black,A female dog recently gave birth right in front of our house. We did our best to shelter the family and fed them. Now the puppies are at an adoptable age and we hope somebody can give these bundle of joys a deserving home. Please call Mdm June Tan at for more info.,1
1,307,307,1,4,7,0,1,0,"[  0,  2)",6,1,N,2,1,2,1,3,2,2,Mixed Breed,2,Others,Black,"To All Kind Hearted, Hi. I came across a litter of 4 pups nearby my office area. They are about 6-7 weeks old & start roaming around. Fearing that they may be run over by moving vehicle or else they will become an addition to the bunch of stray dogs in the area, I have decided to help them look for a home. Gosh!! It was a tough mission for the dogma has always been around to guard her pups. However, after more than a week of waiting patiently, i managed to catch one of the pups. Please help spread the news around so that this chubby cute FEMALE pup can find a good home as soon as possible. Anyone interested kindly let me know. Ms Liaw",1
1,307,0,1,2,0,0,1,0,"[  0,  2)",2,1,N,2,2,2,1,2,2,2,Mixed Breed,2,41326,Black,I rescued this puppy 2 weeks ago and she is searching for a home,3
1,307,0,1,7,0,0,3,0,"[  0,  2)",20,1,N,2,2,1,1,2,2,2,Mixed Breed,2,41326,Black,"Somebody abandoned these 3 female 1 month old puppies near the monsoon drain... The puppies do not have teeth yet; they should still be milking... They are able to drink milk from container and eat biscuits (softened in water). Can't foster them as i already have 5 dogs, 2 of which are adopted...1 puppy.. So now the 3 poor lil puppies are temporary in a make-shift box house where they were abandoned. PLEASE help find a home for them or help foster them so they stay healthy! 18 Jan - Fatty black showing signs of teething. Spotty seems to be more adventurous ! Please help spread the word, thanks!",1
1,307,0,2,5,0,200,2,0,"[  3,  6)",2,4,N,3,2,1,1,2,2,2,Mixed Breed,2,41326,Brown,"Scott Moe and Ally Faye are siblings. Scott is an active and ""Manja"" boy whereas Ally is a lively and sporty girl. Scott Moe sitting in the flower pot reminds us of his mother, Lily who loves hunting for mice. Lily has went missing not long ago but life goes on for both of these adorable siblings. They are affectionate and will give you all the love in the world.",4
2,266,265,1,6,0,0,1,0,2,8,2,N,1,2,1,1,2,2,3,Domestic Short Hair,2,41326,Black,"Location: Damansara Jaya, PJ Character: Very playful and active especially the black kitten. Health condition: They are in good health and can eat solid food. Reason for adoption: Owner, Ms. Puviyal, has many cats at home. Looking for sincere, suitable adopters who can provide these lovely kittens good permanent homes. Sincere and serious adopters can contact Ms. Puviyal, or sms me. Thank you.",3
2,265,0,1,2,0,0,3,0,"[  3,  6)",2,3,Y,1,2,2,1,2,2,1,Domestic Medium Hair,2,41401,Black,"These are part of a 3-kitten litter from a neighbourhood stray. Two are domestic medium-hair, and one is a domestic short hair. They are lovely, hyper kittens in need of a loving home. All three have not yet been vaccinated, therefore no adoption fee required but interested parties shall be required to commit to take the kittens for vet visit and undergo the needed medical requirements at own cost. Location is Taman Melawati, Kuala Lumpur. Potential adopters are required to come see them at this location first before deciding. I will give the address to anyone who is CONFIRMED to come and see them. May be adopted individually but pairs/all three are preferred.",2
2,266,292,5,6,0,50,1,0,"[  0,  2)",3,1,N,2,2,2,1,2,2,2,Domestic Short Hair,2,41401,Cream,"Lucky was rescued from a drain last night. She is about a month old kitten. Pretty, cream coat, black ear tips & tail, blue eyes. In search of a good, forever home for her.",0
1,307,218,2,7,0,0,1,0,"[  3,  6)",3,4,N,2,2,2,1,2,2,2,Mixed Breed,2,41326,Brown,puppy is rescued dog and looking for good home and family.She is very friendly dog and she is still very young and need love.,4
2,292,302,1,2,4,0,2,0,"[ 24, 60)",5,36,N,2,2,1,1,3,2,1,Siamese,2,41326,Black,"I have a brown siamese female adult cat (age approximately 3 yrs), and her kitten, a black tortie (age 3 months)up for adoption. Both are healthy , and they need to be adopted together.",4
1,307,307,2,0,0,0,1,0,2,23,2,N,2,2,1,1,1,2,2,Mixed Breed,2,41326,Brown,"Yesterday evening, we saw one kind Uncle Guard feeding one skinny strays in Kota Damansara & we stopped to offer him some kibbles and had a little chat with him. Uncle Guard reveals that he has been feeding & taking care 4 puppies & he asked whether we can help him to re-home them as he dont want the puppies to end up as strays like the rest of the adult doggies. So, here we are to help Uncle Guard to find home for these 4 gorgeous girls! We had shared with Uncle Guard the importance of spaying them to prevent future unwanted puppies & that we will try to approach TNRM for help in this mission. Can you little angels out there help to share this album & help Uncle Guard to rehome these 4 babies? ♥ Pls Whatsapps should you need any clarification/information ♥ Million Txs! ♥ ♥",3
2,265,0,1,6,7,0,1,0,"[  3,  6)",2,4,Y,1,2,2,1,3,2,2,Domestic Medium Hair,2,41326,Black,Finding new owner .,2
2,266,0,2,0,0,0,1,0,"[  6, 12)",4,9,Y,1,2,1,1,1,2,2,Domestic Short Hair,2,Others,Brown,seorang yang manja.,4
2,264,265,1,2,6,150,2,0,"[  3,  6)",20,3,N,1,2,2,1,3,1,1,Domestic Long Hair,2,41326,Black,LOOKING FOR NEW OWNER THAT SERIOUSLY WANT TO ADOPT AND TAKE A VERY GOOD CARE OF THESE TWO CUTEY KITTENS . THEIR PARENTS ARE BOTH LONG HAIR BUT MIXED BREED ( PERSIAN AND NON PERSIAN ) Cookies : MALE LONG HAIR Brownies : FEMALE LONG HAIR ( ALL BLACK AND BROWN ) MUST ADOPT BOTH KITTENS AS THEIR ARE REALLY CLOSE TO EACH OTHER AND I DONT WANT TO SEPERATES THEM . WHATSAPP ONLY NO CALL! ( Anis ),4
2,247,0,6,0,0,100,2,0,"[ 12, 24)",2,16,Y,2,2,2,1,1,2,1,Bengal,2,41326,Gray,Healthy and lovely cat,2
1,307,0,1,5,7,0,4,0,"[  0,  2)",7,1,N,3,2,1,1,3,2,1,Mixed Breed,2,41401,Black,"We rescued these 4 puppies from a factory. all 4 of them are siblings, 3 black puppies plus 1 furry white puppy. Please offer them a good home if you can.",2
2,266,0,3,0,0,0,1,0,"[ 12, 24)",0,12,Y,2,2,1,1,1,3,3,Domestic Short Hair,2,41401,Golden,"She has been hanging around my place about a month ago, I feed her daily and she comes back for food and shelter outside my house. And lately I realise that she is pregnant, she is always waiting at the front door,wanting to enter the house. It's so pitiful to see that but we cannot keep her for there are already five cats, two rabbits and two tortoises in my small place. She's a very loving cat and always look at us with those 'please take me home' kind of eyes. I feel so sorry for her. Her tummy is getting bigger each day. I think she's going to give birth soon. She's urgently needing a loving ""parent"" somewhere out there.",4
1,307,0,2,7,0,0,1,0,"[  3,  6)",1,3,N,1,2,1,1,2,2,1,Mixed Breed,2,41330,Brown,"Max is rescue by a kind feeder. Max is three month old and looking for good home and family that can love him and treat him as part of the family. He are still very young and need love, patients and attention , so must take care him well. Please what app, sms or call or for more information.",2
1,307,0,2,3,0,50,1,0,2,2,2,N,1,2,2,1,2,1,1,Mixed Breed,2,41326,Brown,Hiccup is active & love to play,2
2,266,0,1,2,6,0,1,0,"[ 24, 60)",2,36,Y,1,2,1,1,3,1,1,Domestic Short Hair,1,41326,Black,"Kicik is a very sweet and very affectionate boy. He was cruelly abandoned outside a vet clinic in Wangsa Maju. The vet took him in, nursed him to health, neutered him and feeds him daily. He is very manja and wonderful with adults and kids. He tries to get into cars as he must be so eager to have his own loving home. He's got big beautiful eyes! If you are interested in a loyal and loving cat like Kicik, please call or sms :)",4
1,307,0,1,2,4,0,1,0,"[  6, 12)",1,8,N,2,2,1,1,3,2,2,Mixed Breed,2,41330,Black,"We are a group of students from Kampar,Perak who rescuing animals. Please help to adopt if you can, thanks. This doggie hit by security guard in UTAR block B. Rescued by one of our lecturer. Doggie is doing very well now. Kindly give this doggie a home and let her know the feeling of beloved . She can be a very good guard dog if you are willing to give her a chance. Thanks.",4
2,266,266,2,3,7,0,3,3,2,4,2,Y,3,1,1,1,3,2,2,Domestic Short Hair,2,41401,Brown,"Their miniature-mother whom, named Fatt Chai accidentally got pregnant right before her neutering. I was informed bout her pregrancy by the vet and i stopped the surgery as i not a supporter of abortion. Therefore, 3 cute little kittens were born. I name them Fok, Lu, Shou name after our chinese god, san xing which bring prosperity,status and longevity. I am a cats lover and currently i have 2 adult cats with me. Due to my job where i need to outstation frequently, it's difficult for me to handle a total of 5cats at home. It's painful for me to put my 3 precious little kitten up for adoption, but i hope there's other cat lovers who can give them a loving and warm home. Note: They are sand-trained. Thank you",2
2,265,0,2,7,0,0,2,0,"[ 12, 24)",6,12,Y,1,3,2,1,2,1,1,Domestic Medium Hair,2,41326,Brown,I have to let him go but only to trusted one (having a facebook account is a must to keep me updated). my sister is coming to stay with me and she's suffering from asthma. apam is very adorable you will fall in love with him at a first sight.,3
1,307,0,1,2,7,0,1,0,2,3,2,N,1,2,1,1,3,2,2,Mixed Breed,2,41326,Black,"Thor is among 3 siblings left, born in an open field in Ara Damansara. He is a very adorable little pup, very steady and playful, the taikor among his two other sisters. Vaccination and neutering are compulsory, cost to be borne by adopter. No tying up or caging, unless necessary for short hours. Please bear in mind that pups require attention and you will need time to train them. Pups chew, bite and dig gardens. Call if interested.",1
1,205,0,1,7,0,0,1,0,"[ 12, 24)",1,12,Y,1,2,2,1,2,1,1,Shih Tzu,2,41326,Black,T-Bone has found a new Home with A loving Couple.. Thanks :),3
2,265,0,1,4,6,0,2,0,"[  6, 12)",4,6,Y,3,2,1,1,3,1,1,Domestic Medium Hair,1,41401,Black,Diego and Frida are siblings. They are very tamed and they both enjoy human company.,4
2,265,0,6,7,0,0,5,0,"[  0,  2)",1,1,Y,3,1,2,1,2,2,3,Domestic Medium Hair,3,41401,Gray,"Mohon Perlindungan untuk Anak-anak Kucing & Ibu Kucing. Kemungkinan anak-anak kucing nie baru je lahir..pagi td otw nk g keje terdengar suara anak kucing,terus bergegas cari suara tu..anak-anak kucing & si ibu di letak di dalam sebuah kotak yg luas dgn kain perca di sekeliling kotak mungkin kucing2 nie orang buang atau ade yg perihatin yg letak kan mereka di dalam kotak tu. Sy x sampai hati biarkan mereka mcm tu,bkn sy xnk amek bela, dekat rumah sy dh bnyk kucing & sy pernah ada problem dgn DBKL sbb bela bnyk kucing (duduk flat DBKL). Kadang2 DBKL beroperasi di kawasan flat sy tu utk kutip haiwan2 jalanan, jd mungkin keselamatan mereka terancam. Saya mohon agar ada pihak yg sudi adopt anak2 kucing & Si Ibu. Jika kawasan tuan/puan berdekatan dgn rumah sy, sy akan hantar kucing2 nie..sy akan bersihkan mereka. Please Details : Ibu Kucing 3  4 orang anak2 kucing (Putih / Belang)",4
2,266,0,1,3,7,0,4,0,"[  3,  6)",15,3,Y,1,2,1,1,3,2,1,Domestic Short Hair,2,41326,Black,"all r adopted ...tq kak as and pauline.. 4 healthy male dsh kittens r for adoption again. d.o.b:20/9/10 dewormed 1st on /10,2nd on 2/ litter trained..very active..current diet:rc kitten,blackwood,boiled fish&chicken+food suppliment(additional protein) they all look almost the same,different only by the tail.. 1.black tabby long kink tail 2.black tabby short kink tail 3.orange tabby long tail 4.orange tabby short kink tail",2
1,307,0,2,7,0,0,1,0,"[  3,  6)",3,3,N,2,2,1,1,2,2,1,Mixed Breed,2,41327,Brown,"This beautiful yet adorable baby girl was send to me yesterday. She is 3 months old and very cheeky. If ur interested please call/whatsapp me:/ Address: One Petz 2-1-20 One Square, Tingkat Mahsuri 1, Bayan Lepas, Penang.",2
1,307,307,2,0,0,0,6,0,"[  3,  6)",11,3,N,2,4,1,1,1,1,1,Mixed Breed,2,41326,Brown,"FOR serious adopters only! If you are interested in adopting, kindly contact ==> Call/ SMS / Whatapps to Requirements for Adoption: ========================= All adoptions are subject to an interview and house check. Cost of vaccinations and neutering to be borne by adopter. Vaccinations and neutering/spaying at 6 months of age are COMPULSORY.",2
1,307,16,1,2,0,0,1,0,"[ 24, 60)",3,36,N,2,2,2,1,2,3,3,Mixed Breed,1,41327,Black,I have rescued this dog in a market. The dog was beat by a guy and caused it was lame in one leg(back). The dog has recovered and can run but with minor lame. The dog only eats dog food or it will vomit. This dog is friendly and playful. (Can easy be friend with people) I hope can find a dog lover to adopt her. For Penang only. TQ,2
2,285,0,1,6,0,0,1,0,"[  3,  6)",1,3,Y,2,1,3,1,2,2,2,Persian,2,41326,Black,Cat for adoption,1
2,305,0,1,2,7,0,2,0,"[  3,  6)",5,3,Y,3,1,3,1,3,2,2,Turkish Van,2,41326,Black,Both of my kitten is so active and spoilt. I adopted them from this website (Petfinder) from a Chinese guy. My life have been so cheerful after i got these two angels :),0
2,266,299,6,0,0,0,1,0,"[  6, 12)",4,6,N,2,2,1,1,1,3,3,Domestic Short Hair,3,41336,Gray,"Small grey tabby cat with large green-yellow eyes. Very cute, very friendly kitten that followed friend home in her car. Possibly a lost pet but have not been able to locate owner. She was found at Taman tun near the MAYBANK and ok restaurant. I think it would be nice for her to have another kitten her age to play with as very active.",2
1,307,0,1,2,5,0,2,0,"[  3,  6)",14,3,N,2,2,1,1,3,1,1,Mixed Breed,2,41326,Black,"Ginn, my dog lover friend, is the rescuer of these 8 adorable pups from her office area in Old Klang Road. They were born and nursed by their mother under cars in a used car parking lot where street dogs shelter. 4 of them have been adopted. Now there are 2 males and 2 fenales. They are now in a pet shop waiting for adoption. It is costing Ginn RM50 a day to have the pups sheltered in the pet shop. Even though she is not collecting any adoption fee it would be helpful if adopter can donate to the sheltering fee. Interested real dog lovers please call Jocelyn at.",3
1,189,103,1,5,0,200,1,0,"[  3,  6)",5,4,N,2,3,2,1,2,1,1,Rottweiler,2,41326,Black,"She was found in a parking area on 25th of December and that is how her name came from. She is very active and playful, she even started to guard the house in the age of 4 months, remarkable!!",2
2,266,0,1,7,0,0,1,0,"[  3,  6)",5,3,Y,2,1,1,1,2,1,1,Domestic Short Hair,1,41327,Black,open for adoption!!,4
1,307,0,2,7,0,0,1,0,"[  0,  2)",12,1,N,1,2,2,1,2,2,2,Mixed Breed,2,41401,Brown,aka Beagle look like puppy. Friendly and sweet! loves to jump and wrestling around with others!,1
1,307,0,1,2,7,0,1,0,"[  0,  2)",11,1,N,1,2,1,1,3,2,1,Mixed Breed,2,41326,Black,"Chino is among 7 siblings that need a good home. He is good natured, and is an easy going pup. Affectionate and playful. His coat is pretty unique, somewhat like an english setter. Vaccination and neutering are compulsory, cost to be borne by adopter. Please call if you can provide them a good home.",3
2,265,0,1,6,7,0,1,0,"[  3,  6)",5,4,Y,2,2,2,1,3,2,2,Domestic Medium Hair,2,41401,Black,Kayella is a fluffy little sweetheart,3
2,264,0,3,7,0,0,1,0,2,2,2,Y,1,2,3,1,2,2,1,Domestic Long Hair,2,41326,Golden,"His mum gave birth to 5 kittens, he's the first of the lot and the only one left for adoption. He's a lovely boy and is very handsome and playful. Also, his name isn't really Tom, he's still very young so we just refer to him as baby. Please feel free to name him if you adopt him.",4
1,195,0,1,6,0,0,1,0,"[ 60,255]",3,60,Y,1,1,1,1,2,3,3,Schnauzer,2,41326,Black,"Found roaming on fast lane of LDP (kelana jaya - damansara direction) near paradigm mall at hours on 23 June . Abt 8.5 kg. Seemed to hv had recent short hair cut. No collar nor any form of ID attached. Hv some skin sensitivity. From its teeth condition, estimate age is 5 yrs or more.",1
2,266,266,1,7,0,0,1,0,"[  3,  6)",3,3,Y,2,1,1,1,2,2,2,Domestic Short Hair,2,41326,Black,3 month old female tabby for adoption in Bangi/Kajang. She is healthy & friendly towards humans and other cats. Interested adopters please whatapp.,4
1,205,0,2,5,0,0,1,0,"[ 24, 60)",1,36,Y,2,1,2,1,2,1,1,Shih Tzu,1,41326,Brown,"Sahsa was a negleted doggie...she is verry loving dog, and verry adorable.... Your heart will melt when seeing her... please Dont buy but Adopt...save 1 life...give this littlemgirl 1 chance to be part of ypur life.... we required the new owner to borne her neutered fee and give her forever home...",1
2,266,0,6,7,0,0,2,0,"[ 24, 60)",1,24,Y,1,2,1,1,2,1,1,Domestic Short Hair,2,41401,Gray,I'm giving away the two cats to good homes. They have been staying together since young. Please do not separate them.,2
1,147,0,7,0,0,0,1,0,"[ 60,255]",5,60,Y,1,1,3,1,1,1,1,Maltese,1,41401,White,"Personality: - Milky is alert and protective over family members. - He is intelligent & a wonderful companion. - Milky boy is toilet trained. He squats down and wont lift up the leg when pee. Reason of giving up: Condo changed new management & no pets are allowed. Requirement for Adoption ===================== - Prefer Malaysian Chinese - Must stay indoor - Must treat the furkid as family members, not pet. * Please bear in mind, adopter is require to an interview & house check * For SERIOUS ADOPTER ONLY",2
2,266,0,1,3,0,0,1,0,"[  3,  6)",2,3,Y,2,1,1,1,2,3,3,Domestic Short Hair,3,41336,Black,Cute and playful,4
1,307,0,2,0,0,0,1,0,2,2,2,N,2,2,1,1,1,2,1,Mixed Breed,2,41326,Brown,Female puppy needs a good home. Free for adoption. Term & Condition applied.,3
2,266,0,2,6,7,0,2,0,2,3,2,Y,1,2,1,1,3,2,1,Domestic Short Hair,2,41326,Brown,"2 pretty kitten, rescued from the streets of KL, are seeking a new home. They are very small still, and need a lot of TLC. I will only have them adopted as a pair. Since they like to be together and play with each other. Please do not contact me if you are interested in adopting 1 kitten only. Thank you.",3
